## Genes which are present on the Gw_X but absent from the Gw_Y
## The 'GaX?' column denotes whether there is an ortholog on the GaX or not
#
X_gene	CHROM	X_START	X_STOP	GaX?
g10776.t1	chr19	14379054	14380567	Present
g10778.t1	chr19	14409461	14413749	Present
g10795.t1	chr19	14699576	14700551	Present
g10796.t1	chr19	14700663	14707389	Present
g10804.t1	chr19	14801536	14832898	Present
g10805.t1	chr19	14801536	14832898	Present
g10810.t1	chr19	15114541	15126731	Present
g10815.t1	chr19	15197711	15210877	Present
g10824.t1	chr19	15312906	15315582	Present
g10827.t1	chr19	15343286	15356698	Present
g11212.t1	chr19	21075528	21085087	Present
g11211.t1	chr19	21063125	21070828	Present
g11210.t1	chr19	21050629	21070828	Present
g11207.t2	chr19	21038931	21044470	Present
g11206.t1	chr19	21030720	21044926	Present
g11205.t1	chr19	21016906	21030672	Present
g11204.t1	chr19	20976033	20982062	Present
g11201.t1	chr19	20961110	20971159	Present
g11199.t1	chr19	20929235	20933226	Present
g11198.t1	chr19	20924141	20929117	Present
g11197.t1	chr19	20920263	20933681	Present
g11191.t1	chr19	20802717	20808109	Present
g11189.t1	chr19	20791734	20798538	Present
g11187.t1	chr19	20696474	20753441	Present
g11185.t2	chr19	20677222	20712301	Present
g11183.t1	chr19	20651184	20657820	Present
g11176.t2	chr19	20507129	20509064	Present
g11174.t1	chr19	20485046	20496241	Present
g11173.t2	chr19	20478716	20486713	Present
g11166.t15	chr19	20444169	20460653	Present
g11164.t1	chr19	20420817	20439145	Present
g11158.t1	chr19	20322615	20332130	Present
g11157.t1	chr19	20312808	20320979	Present
g11155.t2	chr19	20291838	20296722	Present
g11153.t1	chr19	20277267	20287884	Present
g11152.t1	chr19	20268157	20278128	Present
g11151.t1	chr19	20261874	20272340	Present
g11150.t1	chr19	20250422	20261712	Present
g11145.t1	chr19	20191834	20200347	Present
g11141.t1	chr19	20155240	20163997	Present
g11140.t1	chr19	20140433	20152361	Present
g11139.t1	chr19	20134593	20140094	Present
g11133.t1	chr19	20068654	20090325	Present
g11132.t1	chr19	20068654	20076413	Present
g11130.t1	chr19	20030801	20032127	Present
g11127.t1	chr19	20017264	20021957	Present
g11126.t1	chr19	20013798	20016812	Present
g11123.t1	chr19	19990151	19998394	Present
g11117.t1	chr19	19947354	19950069	Present
g11116.t1	chr19	19932806	19946485	Present
g11114.t1	chr19	19901761	19910114	Present
g11109.t1	chr19	19855458	19863466	Present
g11108.t1	chr19	19852131	19860322	Present
g11104.t1	chr19	19777501	19789752	Present
g11099.t1	chr19	19737911	19739808	Present
g11098.t3	chr19	19733000	19735416	Present
g11091.t1	chr19	19666167	19673727	Present
g10867.t1	chr19	16127214	16138629	Present
g10866.t1	chr19	16124003	16126281	Present
g10865.t2	chr19	16115954	16123589	Present
g10864.t1	chr19	16099341	16115342	Present
g10859.t1	chr19	16070224	16149315	Present
g10856.t1	chr19	15957443	15974762	Present
g10855.t1	chr19	15932719	15957440	Present
g10854.t1	chr19	15910425	15916770	Present
g10852.t1	chr19	15810327	15810698	Present
g10849.t2	chr19	15793562	15807163	Present
g10848.t1	chr19	15781524	15795279	Present
g10844.t2	chr19	15604878	15661793	Present
g10843.t1	chr19	15599893	15602594	Present
g10840.t1	chr19	15545273	15554023	Present
g10833.t1	chr19	15427240	15443924	Present
g10832.t2	chr19	15411855	15420697	Present
g10830.t1	chr19	15390502	15403912	Present
g11215.t1	chr19	21105902	21111416	Present
g11217.t1	chr19	21112251	21126629	Present
g11219.t1	chr19	21156450	21168106	Present
g11222.t3	chr19	21206313	21222794	Present
g11223.t1	chr19	21229037	21237128	Present
g11232.t1	chr19	21309410	21310333	Present
g11233.t1	chr19	21320312	21321742	Present
g11237.t1	chr19	21356078	21360702	Present
g11241.t1	chr19	21373619	21377163	Present
g11245.t1	chr19	21409433	21413316	Present
g11246.t1	chr19	21409433	21429297	Present
g11248.t1	chr19	21498298	21547494	Present
g11249.t1	chr19	21601789	21641418	Present
g11251.t1	chr19	21672813	21675539	Present
g11253.t1	chr19	21693430	21718869	Present
g11254.t1	chr19	21760201	21761625	Present
g11255.t1	chr19	21850265	21915577	Present
g11260.t1	chr19	22066455	22070684	Present
g11265.t1	chr19	22158433	22175382	Present
g11266.t1	chr19	22162060	22192648	Present
g11268.t1	chr19	22339774	22348403	Present
g11269.t1	chr19	22355213	22363251	Present
g11273.t1	chr19	22389289	22392577	Present
g11274.t1	chr19	22393273	22403324	Present
g11276.t1	chr19	22435369	22455243	Present
g11278.t1	chr19	22466031	22480622	Present
g11279.t1	chr19	22508389	22510485	Present
g11280.t1	chr19	22510658	22517429	Present
g11281.t1	chr19	22518088	22621436	Present
g11282.t1	chr19	22626634	22634990	Present
g11284.t1	chr19	22635249	22655080	Present
g11288.t1	chr19	22795769	22807885	Present
g11289.t2	chr19	22810071	22816929	Present
g11292.t6	chr19	22839792	22862930	Present
g11295.t6	chr19	22924456	22950878	Present
g11297.t1	chr19	22955717	22965054	Present
g11298.t1	chr19	22974303	22984301	Present
g11301.t1	chr19	23003134	23005194	Present
g11302.t1	chr19	23075030	23081492	Present
g11305.t1	chr19	23089573	23161559	Present
g11306.t1	chr19	23089573	23161559	Present
g11307.t1	chr19	23089573	23161559	Present
g11309.t1	chr19	23330723	23343497	Present
g11035.t2	chr19	18854301	18870625	Present
g11045.t1	chr19	19023555	19045765	Present
g11048.t2	chr19	19045095	19083959	Present
g11050.t1	chr19	19118908	19135042	Present
g11058.t1	chr19	19206463	19219967	Present
g11059.t1	chr19	19222192	19224307	Present
g11060.t1	chr19	19233591	19241413	Present
g11068.t1	chr19	19305136	19320397	Present
g11070.t1	chr19	19324134	19327631	Present
g11071.t1	chr19	19326055	19333421	Present
g11073.t1	chr19	19332538	19361982	Present
g11074.t1	chr19	19362168	19365004	Present
g11077.t1	chr19	19446785	19451960	Present
g11083.t1	chr19	19618172	19622636	Present
g11085.t1	chr19	19635179	19638296	Present
g11086.t1	chr19	19645824	19649195	Present
g10871.t1	chr19	16162708	16186438	Present
g10873.t1	chr19	16204339	16230812	Present
g10880.t3	chr19	16343308	16347653	Present
g10881.t1	chr19	16348987	16378934	Present
g10885.t1	chr19	16456981	16465895	Present
g10886.t1	chr19	16467351	16471638	Present
g10889.t1	chr19	16629817	16635536	Present
g10890.t1	chr19	16636542	16641191	Present
g10892.t3	chr19	16644475	16671454	Present
g10893.t1	chr19	16670303	16689699	Present
g10897.t1	chr19	16829136	16848203	Present
g10898.t1	chr19	16848346	16855486	Present
g10899.t1	chr19	16850049	16858489	Present
g10900.t1	chr19	16860092	16870067	Present
g10903.t1	chr19	16919622	16961624	Present
g10907.t1	chr19	17024041	17066893	Present
g10914.t1	chr19	17163493	17178185	Present
g10918.t1	chr19	17200885	17212770	Present
g10927.t1	chr19	17300068	17324299	Present
g10928.t1	chr19	17316162	17325466	Present
g10929.t1	chr19	17329959	17335370	Present
g10931.t2	chr19	17413738	17434922	Present
g10932.t1	chr19	17436429	17444658	Present
g10934.t1	chr19	17472846	17481359	Present
g10935.t1	chr19	17487455	17493375	Present
g10936.t2	chr19	17497617	17509466	Present
g10937.t1	chr19	17510803	17513558	Present
g10943.t1	chr19	17607301	17614183	Present
g10944.t2	chr19	17607301	17634570	Present
g10949.t1	chr19	17753205	17758230	Present
g10951.t1	chr19	17763178	17764717	Present
g10952.t1	chr19	17767338	17773662	Present
g10953.t2	chr19	17774758	17780160	Present
g10961.t1	chr19	17844954	17851426	Present
g10964.t1	chr19	17905285	17908271	Present
g10966.t1	chr19	17927078	17948939	Present
g10974.t1	chr19	17992965	17998474	Present
g10976.t1	chr19	17999353	18026558	Present
g10978.t1	chr19	18042917	18052467	Present
g10979.t1	chr19	18053363	18065841	Present
g10980.t1	chr19	18059684	18065841	Present
g11025.t1	chr19	18650094	18660512	Present
g11023.t1	chr19	18628973	18632973	Present
g11022.t1	chr19	18621071	18622186	Present
g11021.t1	chr19	18608803	18613311	Present
g11019.t1	chr19	18573787	18585626	Present
g11016.t2	chr19	18539147	18544660	Present
g11014.t2	chr19	18530945	18532290	Present
g11013.t1	chr19	18521781	18532427	Present
g11012.t1	chr19	18509414	18523031	Present
g10967.t1	chr19	17937041	18300196	Present
g10994.t1	chr19	18275816	18279274	Present
g10993.t1	chr19	18260408	18274030	Present
g10991.t1	chr19	18251457	18260406	Present
g10984.t1	chr19	18135864	18151035	Present
g10982.t2	chr19	18079262	18107734	Present
g10981.t2	chr19	18066795	18073765	Absent
g10296.t1	chr19	1737828	1761709	Present
g10482.t1	chr19	7605365	7626205	Present
g10604.t1	chr19	10815779	10819972	Present
g10794.t1	chr19	14695943	14699389	Present
g10792.t1	chr19	14682751	14855359	Present
g11028.t2	chr19	18755326	18764594	Present
g10715.t1	chr19	12875719	12881787	Present
g10716.t1	chr19	12876471	12881051	Present
g4575.t1	chr12	21963852	21964986	Absent
g4524.t1	chr12	20630583	20643282	Absent
g4390.t1	chr12	16554541	16556380	Absent
g4372.t2	chr12	16152500	16157057	Absent
g4305.t1	chr12	14661065	14663079	Absent
g4275.t1	chr12	13860081	13900042	Absent
g4123.t1	chr12	11261820	11263909	Absent
g3950.t1	chr12	8087286	8093620	Absent
g10303.t1	chr19	1885269	1887013	Present
g10297.t1	chr19	1761876	1771090	Present
g10294.t1	chr19	1686102	1710132	Present
g10289.t1	chr19	1512413	1570385	Present
g10280.t2	chr19	1288560	1307744	Present
g10412.t1	chr19	5535942	5559686	Present
g10414.t1	chr19	5573402	5581133	Present
g10333.t1	chr19	3070023	3080828	Absent
g10344.t1	chr19	3235471	3278769	Present
g10346.t1	chr19	3284970	3286400	Absent
g10347.t1	chr19	3290068	3292070	Absent
g10348.t1	chr19	3291756	3292070	Absent
g10490.t2	chr19	7740763	7744250	Present
g10496.t1	chr19	8272011	8301750	Present
g10526.t1	chr19	8830921	8844120	Present
g10542.t1	chr19	9329672	9334301	Present
g10572.t2	chr19	9814735	9830354	Present
g10613.t1	chr19	11360057	11364352	Present
g10682.t1	chr19	12302907	12313557	Present
g10692.t1	chr19	12527137	12536113	Present
g10697.t1	chr19	12575698	12584148	Present
g10719.t1	chr19	12894917	12895483	Absent
g10829.t1	chr19	15379559	15385584	Present
g11209.t1	chr19	21046218	21056164	Present
g11203.t1	chr19	20976033	20982062	Present
g11194.t1	chr19	20825770	20884212	Present
g11178.t1	chr19	20511367	20514763	Present
g11177.t1	chr19	20506119	20511268	Absent
g11171.t1	chr19	20475390	20496241	Present
g11170.t2	chr19	20469547	20475128	Present
g11149.t1	chr19	20245220	20250368	Present
g11134.t1	chr19	20083506	20090325	Present
g11122.t1	chr19	19982982	19997559	Present
g11121.t1	chr19	19970664	19982831	Present
g11120.t1	chr19	19968050	19982831	Present
g11107.t1	chr19	19841429	19853826	Present
g11106.t1	chr19	19837443	19838524	Absent
g11101.t1	chr19	19740386	19758840	Present
g10862.t1	chr19	16094910	16099318	Present
g10851.t1	chr19	15808423	15809249	Present
g10846.t2	chr19	15710665	15767171	Present
g10845.t1	chr19	15693648	15710656	Present
g10842.t1	chr19	15585845	15594002	Present
g10836.t1	chr19	15504486	15531403	Present
g11214.t1	chr19	21091131	21101888	Present
g11218.t1	chr19	21139876	21155832	Present
g11238.t1	chr19	21363676	21365192	Present
g11239.t1	chr19	21367763	21368933	Present
g11240.t1	chr19	21369602	21372941	Present
g11250.t1	chr19	21661957	21672461	Present
g11271.t1	chr19	22376406	22389144	Present
g11030.t1	chr19	18775986	18790276	Present
g11038.t1	chr19	18898282	18901995	Present
g11040.t1	chr19	18908118	18911763	Present
g11055.t1	chr19	19181577	19186200	Present
g11088.t1	chr19	19657210	19659337	Present
g10884.t1	chr19	16419580	16433071	Present
g10891.t1	chr19	16641614	16644447	Present
g10901.t1	chr19	16895136	16899448	Present
g10902.t1	chr19	16902507	16909928	Present
g10913.t1	chr19	17163493	17178185	Present
g10919.t1	chr19	17206222	17213610	Absent
g10921.t1	chr19	17227365	17230011	Present
g10926.t1	chr19	17300068	17324299	Present
g10950.t1	chr19	17753205	17762336	Present
g10975.t1	chr19	17999353	18011755	Present
g11026.t1	chr19	18655542	18660512	Present
g11010.t2	chr19	18493850	18508231	Present
g11009.t1	chr19	18493850	18508231	Present
g11008.t1	chr19	18468555	18473800	Present
g11007.t1	chr19	18463397	18466974	Present
g11006.t1	chr19	18459858	18461981	Present
g11001.t1	chr19	18387596	18399212	Present
g10999.t1	chr19	18375770	18383046	Present
g10878.t1	chr19	16286026	16309765	Absent
g4370.t1	chr12	16131306	16138368	Absent
g4380.t1	chr12	16235584	16236664	Absent
g4537.t2	chr12	20977036	20979829	Absent
g10304.t1	chr19	1885269	1887013	Present
g10383.t1	chr19	4556607	4576831	Present
g10436.t1	chr19	6415182	6454930	Present
g10500.t1	chr19	8362381	8410079	Present
g10777.t1	chr19	14394284	14401261	Present
g11208.t1	chr19	21046218	21056164	Present
g11184.t1	chr19	20675092	20676620	Present
g11136.t1	chr19	20104231	20106151	Present
g11128.t1	chr19	20022943	20025582	Present
g11124.t1	chr19	19997642	20004122	Present
g11236.t1	chr19	21350515	21354971	Present
g11264.t1	chr19	22150219	22156153	Present
g11303.t1	chr19	23083113	23087185	Present
g11047.t1	chr19	19037144	19043934	Present
g11069.t1	chr19	19318574	19323186	Present
g11066.t1	chr19	19305136	19310521	Present
g11027.t2	chr19	18682318	18741253	Present
g11046.t1	chr19	19029775	19034191	Present
g10915.t1	chr19	17179547	17186368	Present
g10940.t1	chr19	17521695	17525544	Present
g10948.t1	chr19	17728127	17753089	Present
g10972.t1	chr19	17979127	17985772	Present
g11002.t1	chr19	18387596	18399212	Present
g11003.t1	chr19	18392535	18399212	Present
g10397.t1	chr19	4992371	5016900	Present
g10550.t2	chr19	9474950	9479923	Present
g10735.t1	chr19	13404161	13411843	Present
g10642.t1	chr19	11830367	11839194	Present
g11147.t1	chr19	20217130	20220875	Present
g10274.t1	chr19	824917	825903	Absent
g4360.t4	chr12	16001345	16003671	Absent
g4523.t1	chr12	20601122	20605421	Absent
g4100.t1	chr12	10894199	10935416	Absent
g4059.t1	chr12	10229176	10239802	Absent
g10322.t2	chr19	2799555	2805365	Absent
g10321.t1	chr19	2747505	2793094	Absent
g10477.t1	chr19	7576836	7577147	Absent
g10518.t1	chr19	8598361	8607310	Absent
g11169.t1	chr19	20462929	20467792	Absent
g11165.t1	chr19	20439894	20441310	Absent
g10850.t1	chr19	15807311	15808176	Absent
g11037.t1	chr19	18889180	18895627	Absent
g10956.t1	chr19	17817292	17824347	Absent
g4159.t1	chr12	11836576	11846327	Absent
g11304.t1	chr19	23087856	23088920	Absent
g10384.t1	chr19	4577915	4585597	Present
g10315.t2	chr19	2480210	2489800	Present
g10478.t1	chr19	7577938	7579909	Present
g10762.t1	chr19	13705478	13709461	Present
g10691.t1	chr19	12514416	12527124	Present
g10639.t1	chr19	11796052	11820533	Present
g10955.t1	chr19	17808518	17812562	Present
g11011.t1	chr19	18509414	18523031	Present
g11065.t1	chr19	19290341	19305105	Present
g11089.t1	chr19	19660641	19663399	Present
g11090.t1	chr19	19663483	19665219	Present
g11094.t1	chr19	19696379	19711866	Present
g11095.t1	chr19	19696379	19711866	Present
g11102.t1	chr19	19740386	19758840	Present
g11112.t2	chr19	19883764	19900844	Present
g11154.t2	chr19	20282636	20291154	Present
g11167.t1	chr19	20462929	20467792	Present
g11228.t2	chr19	21267315	21273953	Present
g4076.t1	chr12	10454818	10460614	Absent
g4602.t1	chr12	23488422	23513542	Absent
g10272.t1	chr19	672390	672692	Absent
g10271.t1	chr19	497343	497657	Absent
