HOG	OG	Gene Tree Parent Clade	Aq	Ga	GaY	Gw	GwY	Pp
N0.HOG0000574	OG0000130	n1	ApeQuad_15234.1	rna-XM_040192963.1		g4320.t1	g22749.t1	rna-XM_037478070.2
N0.HOG0000575	OG0000130	n6	ApeQuad_21909.1	rna-XM_040204598.1		g9150.t1, g9149.t1		rna-XM_037448229.2
N0.HOG0000576	OG0000130	n11	ApeQuad_25995.1	rna-XM_040166657.1		g13566.t1		rna-XM_037456302.2
N0.HOG0000577	OG0000130	n14	ApeQuad_4428.1	rna-XM_040171675.1		g14958.t1		rna-XM_037458690.2
N0.HOG0000578	OG0000131	n1	ApeQuad_6017.2	rna-XM_040174987.1				rna-XM_062558754.1
N0.HOG0000579	OG0000131	n3	ApeQuad_6015.1, ApeQuad_6018.1, ApeQuad_6019.1	rna-XM_040174564.1		g15636.t1		rna-XM_062560632.1, rna-XM_062560640.1, rna-XM_037461329.2, rna-XM_062558762.1, rna-XM_037459990.2, rna-XM_062560669.1, rna-XM_037461333.2, rna-XM_062560628.1, rna-XM_062558761.1, rna-XM_062560638.1
N0.HOG0000580	OG0000132	n4				g1123.t1, g2089.t1		
N0.HOG0000581	OG0000132	n7				g19008.t1, g19043.t1		rna-XM_062566224.1, rna-XM_062561671.1, rna-XM_062564906.1
N0.HOG0000582	OG0000132	n11				g1127.t1		rna-XM_062559715.1
N0.HOG0000583	OG0000132	n13	ApeQuad_7664.1			g9279.t1	g22885.t1	
N0.HOG0000584	OG0000132	n15	ApeQuad_26097.1, ApeQuad_24425.1			g10567.t1		
N0.HOG0000585	OG0000133	n1	ApeQuad_24495.2	rna-XM_040162942.1		g10479.t1	g22796.t1	rna-XM_037452407.2
N0.HOG0000586	OG0000133	n6	ApeQuad_26141.2	rna-XM_040167135.1		g13628.t1		rna-XM_037455959.2
N0.HOG0000587	OG0000133	n10	ApeQuad_20739.2	rna-XM_040202647.1		g8810.t2		rna-XM_037490314.2
N0.HOG0000588	OG0000133	n13	ApeQuad_14867.1	rna-XM_040192396.1		g4623.t1	g22446.t1	rna-XM_037479678.2
N0.HOG0000589	OG0000134	n1	ApeQuad_15821.1	rna-XM_040193403.1, rna-XM_040193404.1, rna-XM_040192617.1		g3764.t1, g3766.t2, g3767.t1, g3765.t1, g3768.t1		rna-XM_062562134.1, rna-XM_062562135.1, rna-XM_062562129.1, rna-XM_062566365.1, rna-XM_062562133.1
N0.HOG0000590	OG0000134	n14	ApeQuad_15820.1	rna-XM_040193402.1		g3763.t1		rna-XM_037478603.2
N0.HOG0000591	OG0000135	n1	ApeQuad_21529.1	rna-XM_040205003.1		g9608.t2		rna-XM_037489890.2
N0.HOG0000592	OG0000135	n5	ApeQuad_21892.1	rna-XM_040204297.1		g9168.t1		rna-XM_037448557.2
N0.HOG0000593	OG0000135	n9	ApeQuad_23999.2	rna-XM_040162322.1	rna-XM_040168459.1	g10821.t2	g22926.t1	rna-XM_037452610.2
N0.HOG0000594	OG0000135	n14	ApeQuad_15923.1	rna-XM_040193019.1		g3725.t2		rna-XM_062562094.1
N0.HOG0000595	OG0000136	n0	ApeQuad_16244.1, ApeQuad_16243.1, ApeQuad_16250.1, ApeQuad_16251.1, ApeQuad_16249.1, ApeQuad_16241.1, ApeQuad_16242.1	rna-XM_040195411.1, rna-XM_040196219.1, rna-XM_040196217.1, rna-XM_040196212.1, rna-XM_040196211.1, rna-XM_040196216.1		g4982.t1, g4983.t1, g4985.t1		rna-XM_062562683.1, rna-XM_037483002.2
N0.HOG0000596	OG0000137	n0						rna-XM_037488925.2, rna-XM_037489117.2, rna-XM_037488929.2, rna-XM_037488949.2, rna-XM_037488668.2, rna-XM_037488940.2, rna-XM_037489045.2, rna-XM_037456930.2, rna-XM_037488932.2, rna-XM_062564860.1, rna-XM_037456925.2, rna-XM_037456926.2, rna-XM_037488923.2, rna-XM_037488666.2, rna-XM_037489167.2, rna-XM_037488696.2, rna-XM_037488927.2, rna-XM_037488672.2
N0.HOG0000597	OG0000138	n2	ApeQuad_2095.1, ApeQuad_2096.1	rna-XM_040171032.1, rna-XM_040171018.1		g1075.t1		
N0.HOG0000598	OG0000138	n6	ApeQuad_28168.1	rna-XM_040180851.1		g19449.t1		rna-XM_037467612.2
N0.HOG0000599	OG0000138	n10	ApeQuad_2097.1	rna-XM_040170972.1		g1076.t1		rna-XM_037482066.2
N0.HOG0000600	OG0000138	n13	ApeQuad_2093.1	rna-XM_040171006.1		g1073.t1		rna-XM_037482338.2
N0.HOG0000601	OG0000139	n1	ApeQuad_2202.1			g1134.t1		rna-XM_062557424.1, rna-XM_062560312.1, rna-XM_062557425.1, rna-XM_062557427.1, rna-XM_062557426.1
N0.HOG0000602	OG0000139	n8				g1133.t1, g1153.t1		
N0.HOG0000603	OG0000139	n14	ApeQuad_2150.2	rna-XM_040174815.1				
N0.HOG0000604	OG0000139	n15	ApeQuad_2162.1	rna-XM_040194581.1				
N0.HOG0000605	OG0000140	n1	ApeQuad_8304.1	rna-XM_040179277.1		g18132.t1, g18133.t1		rna-XM_037466445.2
N0.HOG0000606	OG0000140	n6	ApeQuad_8943.1	rna-XM_040179624.1		g18624.t1		rna-XM_062560755.1
N0.HOG0000607	OG0000140	n10	ApeQuad_19355.2	rna-XM_040199381.1		g7499.t4		rna-XM_037486335.2
N0.HOG0000608	OG0000140	n13	ApeQuad_2151.4	rna-XM_040171311.1		g1132.t1		rna-XM_037478819.2
N0.HOG0000609	OG0000141	n0	ApeQuad_24919.1, ApeQuad_2251.3, ApeQuad_5452.1			g2432.t1		rna-XM_037463392.2, rna-XM_062560254.1, rna-XM_062566304.1, rna-XM_062561768.1, rna-XM_062557795.1, rna-XM_037461991.2, rna-XM_037453002.2, rna-XM_062560607.1, rna-XM_062563685.1, rna-XM_062561802.1, rna-XM_062562161.1, rna-XM_062560529.1, rna-XM_037448551.2
N0.HOG0000610	OG0000142	n1	ApeQuad_28122.1, ApeQuad_24273.1, ApeQuad_3993.1, ApeQuad_4019.1, ApeQuad_7347.1, ApeQuad_12346.1, ApeQuad_19519.1, ApeQuad_8404.1, ApeQuad_12376.1, ApeQuad_12369.1			g10463.t1		rna-XM_062560884.1
N0.HOG0000611	OG0000142	n12	ApeQuad_2272.1, ApeQuad_3970.1, ApeQuad_3992.1, ApeQuad_3972.1			g5604.t1		
N0.HOG0000612	OG0000143	n1	ApeQuad_23863.1	rna-XM_040162480.1	rna-XM_040168952.1	g10941.t2		rna-XM_062563166.1
N0.HOG0000613	OG0000143	n6	ApeQuad_26971.3	rna-XM_040174025.1		g16191.t3		rna-XM_062560358.1
N0.HOG0000614	OG0000143	n10	ApeQuad_24393.1	rna-XM_040163114.1		g10556.t1		rna-XM_037452222.2
N0.HOG0000615	OG0000143	n13	ApeQuad_2975.2	rna-XM_040204058.1		g11633.t1		rna-XM_037450322.2
N0.HOG0000616	OG0000144	n1	ApeQuad_16248.1	rna-XM_040196209.1		g4989.t2		rna-XM_037481579.2
N0.HOG0000617	OG0000144	n5	ApeQuad_18309.2	rna-XM_040197547.1		g6006.t1		rna-XM_062558921.1
N0.HOG0000618	OG0000144	n9	ApeQuad_23822.1	rna-XM_040162078.1	rna-XM_040168924.1	g10967.t1		rna-XM_037450769.2
N0.HOG0000619	OG0000144	n13	ApeQuad_3259.1	rna-XM_040196494.1		g12147.t1		rna-XM_037486501.2
N0.HOG0000620	OG0000145	n1	ApeQuad_4900.1	rna-XM_040171435.1		g14537.t1		rna-XM_037458366.2
N0.HOG0000621	OG0000145	n5	ApeQuad_10415.1	rna-XM_040183406.1		g20631.t1		rna-XM_037470566.2
N0.HOG0000622	OG0000145	n9	ApeQuad_23630.1	rna-XM_040163303.1	rna-XM_040169037.1	g11278.t1		rna-XM_037451052.2
N0.HOG0000623	OG0000145	n13	ApeQuad_3729.1	rna-XM_040200170.1		g12182.t1		rna-XM_037453604.2
N0.HOG0000624	OG0000146	n1	ApeQuad_23940.1	rna-XM_040162040.1		g10873.t1	g22900.t1	rna-XM_037451327.2
N0.HOG0000625	OG0000146	n6	ApeQuad_24063.1	rna-XM_040162980.1	rna-XM_040168382.1	g10772.t2		rna-XM_037450675.2
N0.HOG0000626	OG0000146	n11	ApeQuad_13511.1	rna-XM_040190829.1		g2743.t1		rna-XM_037476414.2
N0.HOG0000627	OG0000146	n14	ApeQuad_6712.2	rna-XM_040176167.1		g17283.t1		
N0.HOG0000628	OG0000147	n2		rna-XM_040180575.1		g18449.t1		rna-XM_062560509.1
N0.HOG0000629	OG0000147	n5	ApeQuad_8736.1					rna-XM_037480172.2, rna-XM_062562298.1, rna-XM_037480175.2, rna-XM_037480174.2
N0.HOG0000630	OG0000147	n10	ApeQuad_8735.1	rna-XM_040180590.1				
N0.HOG0000631	OG0000147	n11	ApeQuad_7592.1	rna-XM_040167941.1, rna-XM_040167547.1, rna-XM_040167546.1, rna-XM_040167940.1				rna-XM_062559079.1
N0.HOG0000632	OG0000148	n1	ApeQuad_10099.2	rna-XM_040184215.1		g20364.t2		rna-XM_037468828.2
N0.HOG0000633	OG0000148	n6	ApeQuad_15490.5	rna-XM_040192419.1		g4113.t3	g22304.t2	rna-XM_062565568.1
N0.HOG0000634	OG0000148	n10	ApeQuad_21759.2	rna-XM_040203764.1		g9285.t2		rna-XM_037491143.2
N0.HOG0000635	OG0000148	n13	ApeQuad_9089.3	rna-XM_040181423.1		g18730.t2		rna-XM_062566330.1
N0.HOG0000636	OG0000149	n1	ApeQuad_11909.1, ApeQuad_11913.1	rna-XM_040186680.1, rna-XM_040186681.1, rna-XM_040186994.1, rna-XM_040186993.1, rna-XM_040186995.1		g20994.t1		rna-XM_062564685.1
N0.HOG0000637	OG0000149	n9	ApeQuad_11910.1	rna-XM_040186988.1, rna-XM_040185408.1, rna-XM_040186679.1, rna-XM_040186990.1				rna-XM_037473175.2, rna-XM_062564667.1, rna-XM_037473182.2
N0.HOG0000638	OG0000150	n0	ApeQuad_12541.1, ApeQuad_12556.1, ApeQuad_12548.1, ApeQuad_12545.1, ApeQuad_12537.1, ApeQuad_12539.1, ApeQuad_12550.1, ApeQuad_12552.1, ApeQuad_12543.1, ApeQuad_12554.1	rna-XM_040189180.1, rna-XM_040188872.1, rna-XM_040189178.1, rna-XM_040189383.1		g2004.t1		rna-XM_037474885.2, rna-XM_037474886.2
N0.HOG0000639	OG0000151	n1	ApeQuad_21470.1	rna-XM_040204541.1		g9499.t1		rna-XM_037490366.2
N0.HOG0000640	OG0000151	n6	ApeQuad_15641.1			g3985.t1	g22428.t1	rna-XM_037477990.2
N0.HOG0000641	OG0000151	n10	ApeQuad_25290.1	rna-XM_040165849.1		g13001.t1		rna-XM_037453472.2
N0.HOG0000642	OG0000151	n13	ApeQuad_13140.1	rna-XM_040189678.1		g2476.t1		rna-XM_062558550.1
N0.HOG0000643	OG0000152	n1	ApeQuad_20955.3	rna-XM_040203020.1		g8636.t3		rna-XM_037489868.2
N0.HOG0000644	OG0000152	n6	ApeQuad_23585.1	rna-XM_040163125.1		g11014.t1		rna-XM_062563019.1
N0.HOG0000645	OG0000152	n9	ApeQuad_27548.2	rna-XM_040175505.1		g16612.t1		rna-XM_037461076.2
N0.HOG0000646	OG0000152	n12	ApeQuad_14733.1	rna-XM_040194201.1		g4755.t1	g22842.t1	rna-XM_062562905.1
N0.HOG0000647	OG0000153	n2						rna-XM_062563209.1, rna-XM_062560864.1
N0.HOG0000648	OG0000153	n4	ApeQuad_15055.1	rna-XM_040193886.1				
N0.HOG0000649	OG0000153	n5	ApeQuad_15057.1, ApeQuad_15058.1	rna-XM_040192180.1, rna-XM_040194575.1, rna-XM_040192304.1, rna-XM_040192275.1, rna-XM_040192248.1, rna-XM_040194574.1, rna-XM_040192212.1				
N0.HOG0000650	OG0000153	n13	ApeQuad_15056.1	rna-XM_040192285.1				rna-XM_062563168.1, rna-XM_062563192.1
N0.HOG0000651	OG0000154	n1	ApeQuad_22002.2	rna-XM_040204801.1		g9063.t1		rna-XM_062563819.1
N0.HOG0000652	OG0000154	n6	ApeQuad_23977.2	rna-XM_040163999.1		g10842.t1		rna-XM_037451521.2
N0.HOG0000653	OG0000154	n9	ApeQuad_27106.1	rna-XM_040173057.1		g16182.t1		rna-XM_037460551.2
N0.HOG0000654	OG0000154	n12	ApeQuad_15167.1	rna-XM_040193658.1		g4386.t1	g22653.t1	rna-XM_037480595.2
N0.HOG0000655	OG0000155	n1	ApeQuad_19743.1	rna-XM_040201340.1		g8416.t1		rna-XM_062564837.1
N0.HOG0000656	OG0000155	n5	ApeQuad_25578.1	rna-XM_040164831.1		g12666.t1		rna-XM_062565553.1
N0.HOG0000657	OG0000155	n9	ApeQuad_21837.1	rna-XM_040203468.1		g9218.t1		rna-XM_037447874.2
N0.HOG0000658	OG0000155	n12	ApeQuad_15420.1	rna-XM_040193487.1		g4167.t1	g22250.t1	rna-XM_062565256.1
N0.HOG0000659	OG0000156	n1		rna-XM_040192482.1, rna-XM_040192782.1		g3978.t1		rna-XM_062558179.1, rna-XM_062558209.1, rna-XM_037488583.2, rna-XM_037471376.2, rna-XM_062560880.1, rna-XM_062560883.1, rna-XM_062560892.1, rna-XM_062560891.1, rna-XM_037471128.2, rna-XM_062561093.1
N0.HOG0000660	OG0000156	n13	ApeQuad_15805.1			g3977.t1		rna-XM_062563513.1, rna-XM_037478354.2
N0.HOG0000661	OG0000157	n1	ApeQuad_21098.1	rna-XM_040203622.1		g8828.t1		rna-XM_037448180.2
N0.HOG0000662	OG0000157	n6	ApeQuad_23589.2	rna-XM_040161848.1		g11015.t1	g22940.t1	rna-XM_037451313.2
N0.HOG0000663	OG0000157	n10	ApeQuad_27549.1	rna-XM_040175503.1		g16613.t1		rna-XM_037462253.2
N0.HOG0000664	OG0000157	n13	ApeQuad_15811.1	rna-XM_040192238.1		g3757.t1		rna-XM_037479654.2
N0.HOG0000665	OG0000158	n0	ApeQuad_27045.1, ApeQuad_27044.1, ApeQuad_27042.1, ApeQuad_27040.1, ApeQuad_27046.1	rna-NM_001267629.1, rna-XM_040174221.1, rna-XM_040172487.1		g16210.t1, g16211.t1, g16213.t2, g16215.t1, g16219.t1, g16216.t1		rna-XM_062560327.1, rna-XM_062560326.1, rna-XM_062560329.1
N0.HOG0000666	OG0000159	n1				g13221.t1, g13223.t1		
N0.HOG0000667	OG0000159	n3		rna-XM_040166312.1				rna-XM_062565522.1, rna-XM_037453599.2, rna-XM_037453582.2, rna-XM_062565525.1, rna-XM_062565743.1, rna-XM_062565742.1, rna-XM_062565523.1, rna-XM_037453834.2
N0.HOG0000668	OG0000159	n11		rna-XM_040164922.1, rna-XM_040164928.1, rna-XM_040166306.1		g13222.t1, g13220.t1		rna-XM_062565526.1
N0.HOG0000669	OG0000160	n0				g15010.t1, g14184.t1, g22036.t1		rna-XM_062566652.1, rna-XM_062561478.1, rna-XM_062561482.1, rna-XM_062566650.1, rna-XM_062561472.1, rna-XM_062561480.1, rna-XM_062564566.1, rna-XM_062561476.1, rna-XM_062558075.1, rna-XM_062561474.1, rna-XM_062566647.1, rna-XM_062557501.1, rna-XM_062557951.1, rna-XM_062557681.1
N0.HOG0000670	OG0000161	n0						rna-XM_062563080.1, rna-XM_037457636.2, rna-XM_062559231.1, rna-XM_062561981.1, rna-XM_062565931.1, rna-XM_062559232.1, rna-XM_062565580.1, rna-XM_062565585.1, rna-XM_062559676.1, rna-XM_062559597.1, rna-XM_062558192.1, rna-XM_062557789.1, rna-XM_062560126.1, rna-XM_037457649.2, rna-XM_062560513.1, rna-XM_062561982.1, rna-XM_062558134.1
N0.HOG0000671	OG0000162	n1	ApeQuad_7848.1	rna-XM_040160253.1		g9663.t1		rna-XM_037462747.2
N0.HOG0000672	OG0000162	n9	ApeQuad_1728.1			g7547.t1		
N0.HOG0000673	OG0000162	n10	ApeQuad_19295.1			g17734.t1		
N0.HOG0000674	OG0000162	n11		rna-XM_040179008.1, rna-XM_040178529.1				
N0.HOG0000675	OG0000162	n12		rna-XM_040199113.1				rna-XM_037465419.2
N0.HOG0000676	OG0000162	n13	ApeQuad_23036.1			g780.t1		rna-XM_037485687.2
N0.HOG0000677	OG0000163	n1	ApeQuad_5706.9	rna-XM_040172836.1		g15877.t5		rna-XM_062560768.1
N0.HOG0000678	OG0000163	n6	ApeQuad_6460.1	rna-XM_040173382.1		g15272.t1		rna-XM_037461708.2
N0.HOG0000679	OG0000163	n9	ApeQuad_12071.1	rna-XM_040186182.1		g20892.t1		rna-XM_062564357.1
N0.HOG0000680	OG0000163	n12	ApeQuad_2025.1	rna-XM_040175348.1		g1011.t3		rna-XM_062561250.1
N0.HOG0000681	OG0000164	n1	ApeQuad_7163.2	rna-XM_040175856.1		g16847.t2		rna-XM_037462939.2
N0.HOG0000682	OG0000164	n5	ApeQuad_15265.1	rna-XM_040192899.1		g4295.t1	g22111.t1	rna-XM_037478928.2
N0.HOG0000683	OG0000164	n10	ApeQuad_19862.3	rna-XM_040201054.1		g8192.t1		rna-XM_037487925.2
N0.HOG0000684	OG0000164	n13	ApeQuad_2897.2	rna-XM_040193262.1		g1680.t1		
N0.HOG0000685	OG0000165	n1	ApeQuad_26185.2	rna-XM_040167236.1		g13666.t1		rna-XM_037456167.2
N0.HOG0000686	OG0000165	n5	ApeQuad_4421.4	rna-XM_040172058.1		g14962.t2		
N0.HOG0000687	OG0000165	n8	ApeQuad_24191.1	rna-XM_040162623.1	rna-XM_040168558.1	g10668.t2		rna-XM_037450625.2
N0.HOG0000688	OG0000165	n12	ApeQuad_2942.1	rna-XM_040161235.1		g11612.t1		rna-XM_037485036.2
N0.HOG0000689	OG0000166	n1	ApeQuad_12582.1	rna-XM_040188371.1		g2024.t1		rna-XM_037473628.2
N0.HOG0000690	OG0000166	n5	ApeQuad_24681.4	rna-XM_040165246.1		g13325.t1		rna-XM_037453152.2
N0.HOG0000691	OG0000166	n9	ApeQuad_12900.1	rna-XM_040188144.1		g2298.t1		rna-XM_037474374.2
N0.HOG0000692	OG0000166	n12	ApeQuad_3368.1	rna-XM_040201694.1		g12048.t2		rna-XM_037482815.2
N0.HOG0000693	OG0000167	n1	ApeQuad_5676.2	rna-XM_040174214.1		g15898.t1		rna-XM_037461514.2
N0.HOG0000694	OG0000167	n6	ApeQuad_19027.3	rna-XM_040198620.1		g7266.t1		rna-XM_037485866.2
N0.HOG0000695	OG0000167	n9	ApeQuad_26714.2	rna-XM_040166825.1		g14109.t1		rna-XM_037455761.2
N0.HOG0000696	OG0000167	n12	ApeQuad_3371.1	rna-XM_040198991.1		g12045.t1		rna-XM_037487625.2
N0.HOG0000697	OG0000168	n1	ApeQuad_16642.1	rna-XM_040195518.1		g5569.t1		rna-XM_037482535.2
N0.HOG0000698	OG0000168	n5	ApeQuad_17654.3	rna-XM_040197579.1		g6525.t1		rna-XM_037484502.2
N0.HOG0000699	OG0000168	n9	ApeQuad_23741.2	rna-XM_040162868.1		g11371.t1		rna-XM_037451738.2
N0.HOG0000700	OG0000168	n12	ApeQuad_3810.1	rna-XM_040168742.1		g12241.t1		rna-XM_037456016.2
N0.HOG0000701	OG0000169	n1	ApeQuad_16146.2	rna-XM_040196299.1		g4918.t1		rna-XM_037482861.2
N0.HOG0000702	OG0000169	n5	ApeQuad_16381.1	rna-XM_040195920.1		g5096.t2		rna-XM_037483183.2
N0.HOG0000703	OG0000169	n9	ApeQuad_23731.4	rna-XM_040163317.1		g11363.t1		rna-XM_037451659.2
N0.HOG0000704	OG0000169	n12	ApeQuad_3820.2	rna-XM_040168543.1		g12248.t4		rna-XM_037455854.2
N0.HOG0000705	OG0000170	n1	ApeQuad_21379.1	rna-XM_040202687.1		g9551.t1		rna-XM_037490716.2
N0.HOG0000706	OG0000170	n5	ApeQuad_25081.1	rna-XM_040165299.1		g13183.t1		rna-XM_037454341.2
N0.HOG0000707	OG0000170	n8	ApeQuad_3871.1, ApeQuad_24244.1	rna-XM_040162771.1	rna-XM_040168034.1	g12337.t1	g22902.t1	rna-XM_037485101.2, rna-XM_037451266.2
N0.HOG0000708	OG0000171	n1	ApeQuad_13509.1	rna-XM_040190607.1		g2742.t2		rna-XM_062565886.1
N0.HOG0000709	OG0000171	n5	ApeQuad_6711.2	rna-XM_040176145.1		g17282.t5		
N0.HOG0000710	OG0000171	n8	ApeQuad_24053.1	rna-XM_040162840.1	rna-XM_040168073.1	g10779.t4		rna-XM_062563065.1
N0.HOG0000711	OG0000171	n12	ApeQuad_4052.1	rna-XM_040163234.1		g12412.t1		rna-XM_037491205.2
N0.HOG0000712	OG0000172	n1	ApeQuad_4269.3	rna-XM_040171463.1		g15083.t1		rna-XM_037458648.2
N0.HOG0000713	OG0000172	n6	ApeQuad_7713.1	rna-XM_040179137.1		g18282.t1		rna-XM_037466156.2
N0.HOG0000714	OG0000172	n9	ApeQuad_9675.1	rna-XM_040184871.1		g20170.t2		rna-XM_037470130.2
N0.HOG0000715	OG0000172	n12	ApeQuad_4263.1	rna-XM_040171900.1		g15090.t1		rna-XM_037458655.2
N0.HOG0000716	OG0000173	n1	ApeQuad_10129.2	rna-XM_040184471.1		g20386.t2		rna-XM_037468974.2
N0.HOG0000717	OG0000173	n6	ApeQuad_11182.1	rna-XM_040187561.1		g21232.t1		rna-XM_037471426.2
N0.HOG0000718	OG0000173	n9	ApeQuad_14130.2	rna-XM_040190072.1		g3045.t1		rna-XM_037475828.2
N0.HOG0000719	OG0000173	n12	ApeQuad_4338.1	rna-XM_040171605.1		g15028.t1		rna-XM_037457598.2
N0.HOG0000720	OG0000174	n1	ApeQuad_15016.1	rna-XM_040193938.1		g4564.t1	g22506.t1	rna-XM_037478998.2
N0.HOG0000721	OG0000174	n6	ApeQuad_21105.1	rna-XM_040203777.1		g8835.t1		rna-XM_037489981.2
N0.HOG0000722	OG0000174	n10	ApeQuad_26790.1	rna-XM_040167118.1				rna-XM_037455945.2
N0.HOG0000723	OG0000174	n12	ApeQuad_4591.1	rna-XM_040171285.1		g14818.t2		rna-XM_037457815.2
N0.HOG0000724	OG0000175	n1	ApeQuad_6947.3	rna-XM_040175764.1		g17171.t4		rna-XM_037463466.2
N0.HOG0000725	OG0000175	n5	ApeQuad_14248.1	rna-XM_040192004.1		g2939.t1		rna-XM_037476955.2
N0.HOG0000726	OG0000175	n9	ApeQuad_20088.1	rna-XM_040200993.1		g8126.t1		rna-XM_037488474.2
N0.HOG0000727	OG0000175	n12	ApeQuad_4627.3	rna-XM_040170719.1		g14788.t1		rna-XM_037458907.2
N0.HOG0000728	OG0000176	n1	ApeQuad_15891.1	rna-XM_040194142.1		g3823.t2		rna-XM_037478778.2
N0.HOG0000729	OG0000176	n5	ApeQuad_20764.1	rna-XM_040204756.1		g8790.t1		rna-XM_037490733.2
N0.HOG0000730	OG0000176	n9	ApeQuad_26096.1	rna-XM_040166740.1		g13538.t1		rna-XM_037455703.2
N0.HOG0000731	OG0000176	n12	ApeQuad_5218.3	rna-XM_040171927.1		g14268.t1		rna-XM_037459173.2
N0.HOG0000732	OG0000177	n1	ApeQuad_13417.1	rna-XM_040190882.1				rna-XM_037476156.2
N0.HOG0000733	OG0000177	n4	ApeQuad_9426.1, ApeQuad_16600.1, ApeQuad_24211.1, ApeQuad_21432.1, ApeQuad_25009.1, ApeQuad_24902.1, ApeQuad_26827.1, ApeQuad_5423.1, ApeQuad_26081.1	rna-XM_040161168.1		g1186.t1		
N0.HOG0000734	OG0000177	n14	ApeQuad_11846.1			g2692.t1		
N0.HOG0000735	OG0000178	n1	ApeQuad_6035.1	rna-XM_040174985.1		g15634.t9		rna-XM_037461322.2
N0.HOG0000736	OG0000178	n6	ApeQuad_6032.1	rna-XM_040174984.1		g15635.t1		
N0.HOG0000737	OG0000178	n11	ApeQuad_6033.1	rna-XM_040174986.1				rna-XM_037461324.2
N0.HOG0000738	OG0000178	n13		rna-XM_040174982.1				rna-XM_062560624.1
N0.HOG0000739	OG0000178	n14		rna-XM_040174930.1				rna-XM_062560670.1
N0.HOG0000740	OG0000179	n1	ApeQuad_16847.1	rna-XM_040196084.1		g5401.t1		rna-XM_037481653.2
N0.HOG0000741	OG0000179	n5	ApeQuad_17557.1	rna-XM_040197558.1		g6612.t2		rna-XM_037484425.2
N0.HOG0000742	OG0000179	n9	ApeQuad_27851.1	rna-XM_040181072.1		g19690.t1		rna-XM_037467681.2
N0.HOG0000743	OG0000179	n12	ApeQuad_6566.1	rna-XM_040177242.1		g17531.t1		rna-XM_037463065.2
N0.HOG0000744	OG0000180	n1	ApeQuad_7989.1	rna-XM_040177995.1		g17848.t6		rna-XM_062566562.1
N0.HOG0000745	OG0000180	n6	ApeQuad_19489.11	rna-XM_040200494.1		g7657.t1		rna-XM_037486929.2
N0.HOG0000746	OG0000180	n9	ApeQuad_23026.4	rna-XM_040160089.1		g9656.t1		rna-XM_037449811.2
N0.HOG0000747	OG0000180	n12	ApeQuad_7100.4	rna-XM_040176747.1		g17048.t1		rna-XM_037463926.2
N0.HOG0000748	OG0000181	n1	ApeQuad_8148.1	rna-XM_040178061.1		g17994.t1		rna-XM_037464796.2
N0.HOG0000749	OG0000181	n6	ApeQuad_16450.1	rna-XM_040195484.1		g5164.t1		rna-XM_037482704.2
N0.HOG0000750	OG0000181	n9	ApeQuad_17813.2	rna-XM_040198425.1		g6397.t1		rna-XM_037484621.2
N0.HOG0000751	OG0000181	n12	ApeQuad_7149.1	rna-XM_040177161.1		g16857.t1		rna-XM_037464089.2
N0.HOG0000752	OG0000182	n1	ApeQuad_13386.1	rna-XM_040191170.1		g2642.t1		rna-XM_037476179.2
N0.HOG0000753	OG0000182	n5				g16700.t2		rna-XM_037463019.2
N0.HOG0000754	OG0000182	n9	ApeQuad_13608.1	rna-XM_040191499.1		g2820.t1		rna-XM_037475395.2
N0.HOG0000755	OG0000182	n12	ApeQuad_7189.1	rna-XM_040175988.1		g16823.t1		rna-XM_037464177.2
N0.HOG0000756	OG0000183	n0	ApeQuad_8860.1	rna-XM_040182933.1, rna-XM_040182062.1, rna-XM_040180165.1, rna-XM_040182064.1		g18558.t2, g18559.t1, g18562.t2, g18561.t1, g18560.t1		rna-XM_037479956.2, rna-XM_062560832.1, rna-XM_037480188.2, rna-XM_037479957.2, rna-XM_037479955.2, rna-XM_037480186.2
N0.HOG0000757	OG0000184	n1		rna-XM_040177675.1				rna-XM_062562822.1
N0.HOG0000758	OG0000184	n3		rna-XM_040172545.1, rna-XM_040186030.1				
N0.HOG0000759	OG0000184	n5	ApeQuad_10020.1, ApeQuad_14839.1	rna-XM_040194579.1, rna-XM_040172566.1, rna-XM_040201442.1, rna-XM_040172943.1				rna-XM_037453616.2
N0.HOG0000760	OG0000184	n11		rna-XM_040170007.1, rna-XM_040200576.1, rna-XM_040160685.1				rna-XM_037451963.2, rna-XM_037457361.2
N0.HOG0000761	OG0000185	n1	ApeQuad_16412.1	rna-XM_040194861.1		g5124.t1		rna-XM_037481786.2
N0.HOG0000762	OG0000185	n5	ApeQuad_18065.1	rna-XM_040196839.1		g6193.t1		rna-XM_037484085.2
N0.HOG0000763	OG0000185	n9	ApeQuad_19059.3	rna-XM_040200313.1		g7290.t1		rna-XM_037485871.2
N0.HOG0000764	OG0000185	n12	ApeQuad_10269.1	rna-XM_040184369.1		g20516.t1		rna-XM_037469893.2
N0.HOG0000765	OG0000186	n1	ApeQuad_11713.2	rna-XM_040186977.1		g21146.t1		rna-XM_037473167.2
N0.HOG0000766	OG0000186	n5	ApeQuad_13961.1	rna-XM_040191790.1		g3194.t1		rna-XM_037476034.2
N0.HOG0000767	OG0000186	n9	ApeQuad_14407.2	rna-XM_040191968.1		g3508.t2		rna-XM_062560304.1
N0.HOG0000768	OG0000186	n12	ApeQuad_11057.1	rna-XM_040187738.1		g21714.t2		rna-XM_037470891.2
