external_gene_name	ensembl_gene_id	gene_biotype	chrom_HG37	chrom_start_HG37	chrom_end_HG37	HI	percentile	PLs
DDX10	ENSG00000178105	protein_coding	chr11	108535752	108811657	0.277239812	29.33%	175/80/0
DDX11	ENSG00000013573	protein_coding	chr12	31226779	31257725	0.01203892	79.21%	50/205/0
DDX17	ENSG00000100201	protein_coding	chr22	38879445	38903665	0.619840654	11.09%	200/55/0
DDX18	ENSG00000088205	protein_coding	chr2	118572226	118589955	0.367409007	22.92%	175/80/0
DDX19A	ENSG00000168872	protein_coding	chr16	70380732	70407286	0.218411447	34.57%	150/105/0
DDX19B	ENSG00000157349	protein_coding	chr16	70323566	70369186	0.472950734	17.05%	200/55/0
DDX20	ENSG00000064703	protein_coding	chr1	112297867	112310638	0.302360625	27.47%	175/80/0
DDX21	ENSG00000165732	protein_coding	chr10	70715884	70744829	0.565036526	13.15%	200/55/0
DDX23	ENSG00000174243	protein_coding	chr12	49223547	49246625	0.499085635	15.87%	200/55/0
DDX24	ENSG00000089737	protein_coding	chr14	94517266	94547591	0.092520169	52.71%	100/155/0
DDX24	ENSG00000273761	protein_coding	chr14	94517266	94547591	0.092520169	52.71%	100/155/0
DDX25	ENSG00000109832	protein_coding	chr11	125773271	125793158	0.287568298	28.55%	175/80/0
DDX27	ENSG00000124228	protein_coding	chr20	47835884	47860614	0.165363829	40.88%	125/130/0
DDX28	ENSG00000182810	protein_coding	chr16	68055179	68057770	0.025954157	71.34%	50/205/0
DDX31	ENSG00000125485	protein_coding	chr9	135468384	135545788	0.04136072	65.35%	75/180/0
DDX39A	ENSG00000123136	protein_coding	chr19	14519631	14530192	0.191496326	37.66%	150/105/0
DDX39B	ENSG00000215425	protein_coding	chr6	31497996	31510225	0.561131797	13.31%	200/55/0
DDX39B	ENSG00000230624	protein_coding	chr6	31497996	31510225	0.561131797	13.31%	200/55/0
DDX39B	ENSG00000225859	protein_coding	chr6	31497996	31510225	0.561131797	13.31%	200/55/0
DDX39B	ENSG00000229496	protein_coding	chr6	31497996	31510225	0.561131797	13.31%	200/55/0
DDX39B	ENSG00000225073	protein_coding	chr6	31497996	31510225	0.561131797	13.31%	200/55/0
DDX39B	ENSG00000235439	protein_coding	chr6	31497996	31510225	0.561131797	13.31%	200/55/0
DDX39B	ENSG00000237889	protein_coding	chr6	31497996	31510225	0.561131797	13.31%	200/55/0
DDX39B	ENSG00000198563	protein_coding	chr6	31497996	31510225	0.561131797	13.31%	200/55/0
DDX3X	ENSG00000215301	protein_coding	chrX	41192651	41223725	0.576936276	12.73%	200/55/0
DDX3Y	ENSG00000067048	protein_coding	chrY	15016019	15032390	0.016183527	76.33%	50/205/0
DDX4	ENSG00000152670	protein_coding	chr5	55033845	55112985	0.357901477	23.59%	175/80/0
DDX41	ENSG00000183258	protein_coding	chr5	176938578	176944470	0.327503011	25.66%	175/80/0
DDX42	ENSG00000198231	protein_coding	chr17	61850963	61896677	0.420403072	19.55%	200/55/0
DDX43	ENSG00000080007	protein_coding	chr6	74104471	74127292	0.011932675	79.28%	50/205/0
DDX46	ENSG00000145833	protein_coding	chr5	134094469	134190823	0.691660517	8.72%	255/0/0
DDX47	ENSG00000213782	protein_coding	chr12	12966250	12982915	0.310940811	26.77%	175/80/0
DDX49	ENSG00000105671	protein_coding	chr19	19030484	19039436	0.074684443	56.37%	100/155/0
DDX5	ENSG00000108654	protein_coding	chr17	62495734	62504317	0.937817771	2.55%	255/0/0
DDX50	ENSG00000107625	protein_coding	chr10	70661034	70706603	0.362734859	23.22%	175/80/0
DDX51	ENSG00000185163	protein_coding	chr12	132621139	132628880	0.008560009	82.1%	25/230/0
DDX51	ENSG00000288503	protein_coding	chr12	132621139	132628880	0.008560009	82.1%	25/230/0
DDX52	ENSG00000278053	protein_coding	chr17	35972362	36003493	0.446354586	18.34%	200/55/0
DDX52	ENSG00000277594	protein_coding	chr17	35972362	36003493	0.446354586	18.34%	200/55/0
DDX53	ENSG00000184735	protein_coding	chrX	23018087	23020204	0.002078516	90.77%	0/255/0
DDX54	ENSG00000123064	protein_coding	chr12	113594979	113623284	0.071192772	57.18%	100/155/0
DDX55	ENSG00000111364	protein_coding	chr12	124086624	124105488	0.138519375	44.62%	125/130/0
DDX56	ENSG00000136271	protein_coding	chr7	44605016	44614650	0.085374453	54.09%	100/155/0
DDX59	ENSG00000118197	protein_coding	chr1	200593024	200639097	0.015678189	76.66%	50/205/0
DDX6	ENSG00000110367	protein_coding	chr11	118620034	118661858	0.85156035	4.6%	255/0/0
DDX60	ENSG00000137628	protein_coding	chr4	169137444	169239958	0.008612712	82.02%	25/230/0
DDX60L	ENSG00000181381	protein_coding	chr4	169277886	169458937	0.002204005	90.41%	0/255/0
DEAF1	ENSG00000282712	protein_coding	chr11	644233	706715	0.01654609	76.16%	50/205/0
DEAF1	ENSG00000177030	protein_coding	chr11	644233	706715	0.01654609	76.16%	50/205/0
DECR1	ENSG00000104325	protein_coding	chr8	91013633	91064320	0.937933944	2.55%	255/0/0
DECR2	ENSG00000274296	protein_coding	chr16	451826	462487	0.025030935	71.79%	50/205/0
DECR2	ENSG00000242612	protein_coding	chr16	451826	462487	0.025030935	71.79%	50/205/0
DEDD	ENSG00000158796	protein_coding	chr1	161090764	161102478	0.452894792	18.06%	200/55/0
DEDD2	ENSG00000160570	protein_coding	chr19	42702750	42724292	0.08463881	54.29%	100/155/0
DEF6	ENSG00000023892	protein_coding	chr6	35265595	35289548	0.256431837	31.02%	150/105/0
DEF8	ENSG00000140995	protein_coding	chr16	90014333	90034468	0.053128896	61.75%	75/180/0
DEFA1	ENSG00000206047	protein_coding	chr8	6835171	6837602	0.000732903	97.13%	0/255/0
DEFA1	ENSG00000284983	protein_coding	chr8	6835171	6837602	0.000732903	97.13%	0/255/0
DEFA1B	ENSG00000240247	protein_coding	chr8	6854288	6875778	0.000762595	96.91%	0/255/0
DEFA1B	ENSG00000285176	protein_coding	chr8	6854288	6875778	0.000762595	96.91%	0/255/0
DEFA3	ENSG00000239839	protein_coding	chr8	6873391	6875823	0.000379842	99.08%	0/255/0
DEFA3	ENSG00000284835	protein_coding	chr8	6873391	6875823	0.000379842	99.08%	0/255/0
DEFA4	ENSG00000285318	protein_coding	chr8	6793344	6795860	0.000374741	99.12%	0/255/0
DEFA4	ENSG00000164821	protein_coding	chr8	6793344	6795860	0.000374741	99.12%	0/255/0
DEFA5	ENSG00000164816	protein_coding	chr8	6912831	6914256	0.000507065	98.39%	0/255/0
DEFA5	ENSG00000285251	protein_coding	chr8	6912831	6914256	0.000507065	98.39%	0/255/0
DEFA6	ENSG00000164822	protein_coding	chr8	6782215	6783598	0.000449361	98.69%	0/255/0
DEFA6	ENSG00000285136	protein_coding	chr8	6782215	6783598	0.000449361	98.69%	0/255/0
DEFB1	ENSG00000164825	protein_coding	chr8	6728097	6735544	0.000516667	98.36%	0/255/0
DEFB1	ENSG00000284881	protein_coding	chr8	6728097	6735544	0.000516667	98.36%	0/255/0
DEFB103A	ENSG00000176797	protein_coding	chr8	7738726	7740186	0.001389949	93.4%	0/255/0
DEFB103A	ENSG00000284978	protein_coding	chr8	7738726	7740186	0.001389949	93.4%	0/255/0
DEFB103B	ENSG00000273641	protein_coding	chr8	7286410	7287870	0.004866315	85.97%	25/230/0
DEFB103B	ENSG00000177243	protein_coding	chr8	7286410	7287870	0.004866315	85.97%	25/230/0
DEFB103B	ENSG00000285376	protein_coding	chr8	7286410	7287870	0.004866315	85.97%	25/230/0
DEFB104A	ENSG00000285356	protein_coding	chr8	7693993	7698764	0.000754004	96.98%	0/255/0
DEFB104A	ENSG00000176782	protein_coding	chr8	7693993	7698764	0.000754004	96.98%	0/255/0
DEFB104B	ENSG00000177023	protein_coding	chr8	7327830	7332604	0.000968444	95.66%	0/255/0
DEFB104B	ENSG00000285034	protein_coding	chr8	7327830	7332604	0.000968444	95.66%	0/255/0
DEFB104B	ENSG00000277006	protein_coding	chr8	7327830	7332604	0.000968444	95.66%	0/255/0
DEFB105A	ENSG00000186562	protein_coding	chr8	7679488	7681411	0.002147291	90.61%	0/255/0
DEFB105A	ENSG00000285411	protein_coding	chr8	7679488	7681411	0.002147291	90.61%	0/255/0
DEFB105B	ENSG00000285015	protein_coding	chr8	7345191	7347115	0.002019377	90.95%	0/255/0
DEFB105B	ENSG00000274729	protein_coding	chr8	7345191	7347115	0.002019377	90.95%	0/255/0
DEFB105B	ENSG00000186599	protein_coding	chr8	7345191	7347115	0.002019377	90.95%	0/255/0
DEFB106A	ENSG00000284937	protein_coding	chr8	7682694	7686575	0.002190707	90.45%	0/255/0
DEFB106A	ENSG00000186579	protein_coding	chr8	7682694	7686575	0.002190707	90.45%	0/255/0
DEFB106B	ENSG00000275794	protein_coding	chr8	7340026	7343922	0.001408519	93.29%	0/255/0
DEFB106B	ENSG00000285617	protein_coding	chr8	7340026	7343922	0.001408519	93.29%	0/255/0
DEFB106B	ENSG00000187082	protein_coding	chr8	7340026	7343922	0.001408519	93.29%	0/255/0
DEFB107A	ENSG00000186572	protein_coding	chr8	7669242	7673238	0.001565936	92.48%	0/255/0
DEFB107A	ENSG00000285432	protein_coding	chr8	7669242	7673238	0.001565936	92.48%	0/255/0
DEFB107B	ENSG00000198129	protein_coding	chr8	7353368	7366833	0.001738279	91.71%	0/255/0
DEFB107B	ENSG00000277530	protein_coding	chr8	7353368	7366833	0.001738279	91.71%	0/255/0
DEFB107B	ENSG00000284979	protein_coding	chr8	7353368	7366833	0.001738279	91.71%	0/255/0
DEFB108B	ENSG00000184276	protein_coding	chr11	71544246	71548756	0.001525209	92.65%	0/255/0
DEFB110	ENSG00000203970	protein_coding	chr6	49976851	49989694	0.017830989	75.4%	50/205/0
DEFB112	ENSG00000180872	protein_coding	chr6	50011288	50016364	0.000236556	99.68%	0/255/0
DEFB113	ENSG00000214642	protein_coding	chr6	49936390	49937338	0.001386134	93.43%	0/255/0
DEFB114	ENSG00000177684	protein_coding	chr6	49927962	49931818	0.001740038	91.71%	0/255/0
DEFB115	ENSG00000215547	protein_coding	chr20	29845467	29847435	0.001201025	94.41%	0/255/0
DEFB116	ENSG00000215545	protein_coding	chr20	29891015	29896388	0.002229167	90.34%	0/255/0
DEFB118	ENSG00000131068	protein_coding	chr20	29956421	29961726	0.000101783	99.94%	0/255/0
DEFB119	ENSG00000180483	protein_coding	chr20	29964967	29978406	0.003255747	88.22%	25/230/0
DEFB121	ENSG00000204548	protein_coding	chr20	29992648	30000641	0.001016172	95.35%	0/255/0
DEFB123	ENSG00000180424	protein_coding	chr20	30028322	30038060	0.007148826	83.33%	25/230/0
DEFB124	ENSG00000180383	protein_coding	chr20	30053309	30064560	0.011729548	79.42%	50/205/0
DEFB125	ENSG00000178591	protein_coding	chr20	67891	77735	0.000231187	99.69%	0/255/0
DEFB126	ENSG00000125788	protein_coding	chr20	123010	126392	8.4056e-05	99.96%	0/255/0
DEFB127	ENSG00000088782	protein_coding	chr20	138111	139804	0.002205108	90.4%	0/255/0
DEFB128	ENSG00000185982	protein_coding	chr20	168494	170322	0.000617016	97.81%	0/255/0
DEFB129	ENSG00000125903	protein_coding	chr20	207899	210527	0.000922937	95.93%	0/255/0
DEFB132	ENSG00000186458	protein_coding	chr20	238377	241737	0.000181489	99.81%	0/255/0
DEFB134	ENSG00000284754	protein_coding	chr8	11850692	11853821	0.002101401	90.73%	0/255/0
DEFB134	ENSG00000205882	protein_coding	chr8	11850692	11853821	0.002101401	90.73%	0/255/0
DEFB135	ENSG00000205883	protein_coding	chr8	11839830	11842099	0.000768548	96.89%	0/255/0
DEFB135	ENSG00000285365	protein_coding	chr8	11839830	11842099	0.000768548	96.89%	0/255/0
DEFB136	ENSG00000205884	protein_coding	chr8	11831446	11832108	0.000613592	97.85%	0/255/0
DEFB136	ENSG00000285087	protein_coding	chr8	11831446	11832108	0.000613592	97.85%	0/255/0
DEFB4A	ENSG00000285181	protein_coding	chr8	7752151	7754233	0.000610672	97.87%	0/255/0
DEFB4A	ENSG00000171711	protein_coding	chr8	7752151	7754233	0.000610672	97.87%	0/255/0
DEFB4B	ENSG00000177257	protein_coding	chr8	7272382	7274385	0.000218017	99.72%	0/255/0
DEFB4B	ENSG00000275444	protein_coding	chr8	7272382	7274385	0.000218017	99.72%	0/255/0
DEFB4B	ENSG00000285433	protein_coding	chr8	7272382	7274385	0.000218017	99.72%	0/255/0
DEGS1	ENSG00000143753	protein_coding	chr1	224363458	224381143	0.083585841	54.51%	100/155/0
DEGS2	ENSG00000168350	protein_coding	chr14	100612756	100626500	0.109443178	49.3%	125/130/0
DEK	ENSG00000124795	protein_coding	chr6	18224099	18265054	0.839668154	4.89%	255/0/0
DENND1A	ENSG00000119522	protein_coding	chr9	126141933	126692431	0.938841547	2.52%	255/0/0
DENND1B	ENSG00000213047	protein_coding	chr1	197473878	197744826	0.490308785	16.31%	200/55/0
DENND1C	ENSG00000205744	protein_coding	chr19	6467218	6482568	0.016969312	75.88%	50/205/0
DENND2A	ENSG00000146966	protein_coding	chr7	140218220	140373793	0.040367086	65.64%	75/180/0
DENND2C	ENSG00000175984	protein_coding	chr1	115125469	115213043	0.362340086	23.27%	175/80/0
DENND2D	ENSG00000162777	protein_coding	chr1	111729796	111747157	0.181786297	38.81%	150/105/0
DENND3	ENSG00000105339	protein_coding	chr8	142127377	142205907	0.011564148	79.53%	50/205/0
DENND4A	ENSG00000174485	protein_coding	chr15	65950384	66084631	0.242202362	32.26%	150/105/0
DENND4B	ENSG00000198837	protein_coding	chr1	153901977	153919172	0.160276064	41.5%	125/130/0
DENND4C	ENSG00000137145	protein_coding	chr9	19230433	19374139	0.349712982	24.14%	175/80/0
DENND5A	ENSG00000184014	protein_coding	chr11	9160372	9286937	0.409934931	20.2%	175/80/0
DENND5B	ENSG00000170456	protein_coding	chr12	31535157	31744031	0.071759002	57.04%	100/155/0
DENND6A	ENSG00000174839	protein_coding	chr3	57611184	57678816	0.396776918	20.97%	175/80/0
DENND6B	ENSG00000205593	protein_coding	chr22	50747459	50765489	0.025926505	71.35%	50/205/0
DENR	ENSG00000139726	protein_coding	chr12	123237321	123255611	0.595613117	11.92%	200/55/0
DEPDC1	ENSG00000024526	protein_coding	chr1	68939835	68962904	0.351716485	23.97%	175/80/0
DEPDC1B	ENSG00000035499	protein_coding	chr5	59892739	59996017	0.289259398	28.4%	175/80/0
DEPDC4	ENSG00000166153	protein_coding	chr12	100597447	100660857	0.013693344	78.08%	50/205/0
DEPDC5	ENSG00000100150	protein_coding	chr22	32149944	32303012	0.189227738	37.92%	150/105/0
DEPDC7	ENSG00000121690	protein_coding	chr11	33037410	33055128	0.156048727	42.14%	125/130/0
DEPTOR	ENSG00000155792	protein_coding	chr8	120885957	121063152	0.243075737	32.18%	150/105/0
DERA	ENSG00000023697	protein_coding	chr12	16064106	16190220	0.460505652	17.66%	200/55/0
DERL1	ENSG00000136986	protein_coding	chr8	124025404	124054663	0.583299499	12.44%	200/55/0
DERL2	ENSG00000072849	protein_coding	chr17	5374571	5390131	0.577110674	12.71%	200/55/0
DERL3	ENSG00000274437	protein_coding	chr22	24176690	24181315	0.060458849	59.74%	100/155/0
DERL3	ENSG00000099958	protein_coding	chr22	24176690	24181315	0.060458849	59.74%	100/155/0
DES	ENSG00000175084	protein_coding	chr2	220283099	220291461	0.992332049	0.99%	255/0/0
DESI1	ENSG00000100418	protein_coding	chr22	41994032	42017100	0.448563896	18.22%	200/55/0
DESI2	ENSG00000121644	protein_coding	chr1	244816237	244872335	0.30124028	27.58%	175/80/0
DET1	ENSG00000140543	protein_coding	chr15	89054790	89089906	0.288689728	28.46%	175/80/0
DEXI	ENSG00000182108	protein_coding	chr16	11022748	11036317	0.09192257	52.83%	100/155/0
DFFA	ENSG00000160049	protein_coding	chr1	10516579	10532583	0.046121034	63.88%	75/180/0
DFFB	ENSG00000169598	protein_coding	chr1	3773845	3801993	0.016683796	76.09%	50/205/0
DGAT1	ENSG00000185000	protein_coding	chr8	145539954	145550573	0.089499172	53.32%	100/155/0
DGAT1	ENSG00000285482	protein_coding	chr8	145539954	145550573	0.089499172	53.32%	100/155/0
DGAT2	ENSG00000062282	protein_coding	chr11	75470557	75512579	0.368068608	22.84%	175/80/0
DGAT2L6	ENSG00000184210	protein_coding	chrX	69397333	69425395	0.027807037	70.51%	50/205/0
DGCR2	ENSG00000070413	protein_coding	chr22	19023795	19109967	0.179066592	39.12%	150/105/0
DGCR6	ENSG00000183628	protein_coding	chr22	18893541	18901751	0.0553658	61.1%	75/180/0
DGCR6L	ENSG00000128185	protein_coding	chr22	20301799	20307603	0.01185007	79.33%	50/205/0
DGCR8	ENSG00000128191	protein_coding	chr22	20067755	20099400	0.831530192	5.07%	255/0/0
DGKA	ENSG00000065357	protein_coding	chr12	56321103	56347811	0.088457304	53.54%	100/155/0
DGKB	ENSG00000136267	protein_coding	chr7	14184674	15014402	0.872352017	4.16%	255/0/0
DGKD	ENSG00000077044	protein_coding	chr2	234263153	234380750	0.042456277	64.97%	75/180/0
DGKE	ENSG00000153933	protein_coding	chr17	54911460	54946036	0.140864387	44.28%	125/130/0
DGKG	ENSG00000058866	protein_coding	chr3	185823457	186080026	0.318926693	26.19%	175/80/0
DGKH	ENSG00000102780	protein_coding	chr13	42614176	42830714	0.240075062	32.44%	150/105/0
DGKI	ENSG00000157680	protein_coding	chr7	137065783	137531838	0.590388461	12.1%	200/55/0
DGKQ	ENSG00000145214	protein_coding	chr4	952675	980683	0.033325388	68.02%	75/180/0
DGKZ	ENSG00000149091	protein_coding	chr11	46354455	46402104	0.129174144	46%	125/130/0
DGUOK	ENSG00000114956	protein_coding	chr2	74153953	74186088	0.082536773	54.68%	100/155/0
DHCR24	ENSG00000116133	protein_coding	chr1	55315306	55352891	0.714084935	8.14%	255/0/0
DHCR7	ENSG00000172893	protein_coding	chr11	71139239	71163914	0.081765547	54.8%	100/155/0
DHDDS	ENSG00000117682	protein_coding	chr1	26758773	26797785	0.807130939	5.63%	255/0/0
DHDH	ENSG00000104808	protein_coding	chr19	49436939	49448226	0.020170605	74.09%	50/205/0
DHFR	ENSG00000228716	protein_coding	chr5	79922047	79950802	0.849258328	4.67%	255/0/0
DHH	ENSG00000139549	protein_coding	chr12	49483204	49488602	0.614604199	11.3%	200/55/0
DHODH	ENSG00000102967	protein_coding	chr16	72042487	72058954	0.325470662	25.78%	175/80/0
DHPS	ENSG00000095059	protein_coding	chr19	12786531	12792716	0.203436371	36.31%	150/105/0
DHRS1	ENSG00000157379	protein_coding	chr14	24759804	24769039	0.040246768	65.68%	75/180/0
DHRS1	ENSG00000284868	protein_coding	chr14	24759804	24769039	0.040246768	65.68%	75/180/0
DHRS11	ENSG00000278535	protein_coding	chr17	34948225	34957233	0.218573936	34.53%	150/105/0
DHRS11	ENSG00000275397	protein_coding	chr17	34948225	34957233	0.218573936	34.53%	150/105/0
DHRS12	ENSG00000102796	protein_coding	chr13	52342129	52378293	0.00254726	89.58%	25/230/0
DHRS13	ENSG00000167536	protein_coding	chr17	27224799	27230089	0.096554269	51.81%	100/155/0
DHRS2	ENSG00000100867	protein_coding	chr14	24099324	24114848	0.006545091	84%	25/230/0
DHRS3	ENSG00000162496	protein_coding	chr1	12627939	12677737	0.444522373	18.45%	200/55/0
DHRS4	ENSG00000157326	protein_coding	chr14	24422795	24438488	0.01129792	79.79%	50/205/0
DHRS4	ENSG00000284807	protein_coding	chr14	24422795	24438488	0.01129792	79.79%	50/205/0
DHRS4L2	ENSG00000187630	protein_coding	chr14	24439148	24475617	0.007168249	83.32%	25/230/0
DHRS4L2	ENSG00000292270	protein_coding	chr14	24439148	24475617	0.007168249	83.32%	25/230/0
DHRS7	ENSG00000100612	protein_coding	chr14	60610838	60636574	0.04054279	65.61%	75/180/0
DHRS7B	ENSG00000109016	protein_coding	chr17	21026677	21096578	0.02774509	70.54%	50/205/0
DHRS7C	ENSG00000184544	protein_coding	chr17	9674751	9694614	0.100547064	51.05%	100/155/0
DHRS9	ENSG00000073737	protein_coding	chr2	169921299	169952677	0.214721887	35.04%	150/105/0
DHRSX	ENSG00000292338	protein_coding	chrX	2137557	2420846	0.002517111	89.65%	25/230/0
DHRSX	ENSG00000169084	protein_coding	chrX	2137557	2420846	0.002517111	89.65%	25/230/0
DHTKD1	ENSG00000181192	protein_coding	chr10	12110971	12165224	0.100987325	50.99%	100/155/0
DHX15	ENSG00000109606	protein_coding	chr4	24519064	24586173	0.899517933	3.44%	255/0/0
DHX16	ENSG00000226171	protein_coding	chr6	30620896	30640814	0.231716365	33.23%	150/105/0
DHX16	ENSG00000206486	protein_coding	chr6	30620896	30640814	0.231716365	33.23%	150/105/0
DHX16	ENSG00000204560	protein_coding	chr6	30620896	30640814	0.231716365	33.23%	150/105/0
DHX16	ENSG00000227222	protein_coding	chr6	30620896	30640814	0.231716365	33.23%	150/105/0
DHX16	ENSG00000231377	protein_coding	chr6	30620896	30640814	0.231716365	33.23%	150/105/0
DHX16	ENSG00000233561	protein_coding	chr6	30620896	30640814	0.231716365	33.23%	150/105/0
DHX16	ENSG00000233049	protein_coding	chr6	30620896	30640814	0.231716365	33.23%	150/105/0
DHX16	ENSG00000233418	protein_coding	chr6	30620896	30640814	0.231716365	33.23%	150/105/0
DHX29	ENSG00000067248	protein_coding	chr5	54552073	54603550	0.264915079	30.29%	150/105/0
DHX30	ENSG00000132153	protein_coding	chr3	47844399	47891685	0.26275946	30.49%	150/105/0
DHX32	ENSG00000089876	protein_coding	chr10	127524906	127585005	0.022278937	73.05%	50/205/0
DHX33	ENSG00000005100	protein_coding	chr17	5344232	5372380	0.106314559	49.91%	125/130/0
DHX34	ENSG00000134815	protein_coding	chr19	47852538	47885961	0.036800207	66.87%	75/180/0
DHX35	ENSG00000101452	protein_coding	chr20	37590942	37668366	0.2769656	29.36%	175/80/0
DHX36	ENSG00000174953	protein_coding	chr3	153990335	154042286	0.3492142	24.2%	175/80/0
DHX36	ENSG00000281763	protein_coding	chr3	153990335	154042286	0.3492142	24.2%	175/80/0
DHX37	ENSG00000150990	protein_coding	chr12	125431371	125473668	0.038347868	66.34%	75/180/0
DHX38	ENSG00000140829	protein_coding	chr16	72127461	72146811	0.255759502	31.05%	150/105/0
DHX40	ENSG00000108406	protein_coding	chr17	57642886	57685706	0.437810869	18.8%	200/55/0
DHX57	ENSG00000163214	protein_coding	chr2	39024871	39103075	0.124987378	46.62%	125/130/0
DHX58	ENSG00000108771	protein_coding	chr17	40253422	40264751	0.049510794	62.81%	75/180/0
DHX8	ENSG00000067596	protein_coding	chr17	41561233	41621831	0.375727885	22.33%	175/80/0
DHX9	ENSG00000135829	protein_coding	chr1	182808504	182856886	0.641181986	10.4%	200/55/0
DIABLO	ENSG00000184047	protein_coding	chr12	122692210	122712081	0.490093865	16.32%	200/55/0
DIAPH1	ENSG00000131504	protein_coding	chr5	140894583	140998622	0.460968984	17.63%	200/55/0
DIAPH2	ENSG00000147202	protein_coding	chrX	95939662	96859996	0.871794471	4.17%	255/0/0
DIAPH3	ENSG00000139734	protein_coding	chr13	60239717	60738121	0.799618501	5.85%	255/0/0
DICER1	ENSG00000100697	protein_coding	chr14	95552565	95624347	0.959525811	1.99%	255/0/0
DIDO1	ENSG00000101191	protein_coding	chr20	61509090	61569304	0.007368736	83.17%	25/230/0
DIMT1	ENSG00000086189	protein_coding	chr5	61683081	61699766	0.600375394	11.76%	200/55/0
DIO1	ENSG00000211452	protein_coding	chr1	54356912	54376759	0.097774621	51.57%	100/155/0
DIO2	ENSG00000211448	protein_coding	chr14	80663873	80854100	0.575178491	12.81%	200/55/0
DIO3	ENSG00000197406	protein_coding	chr14	102027688	102029789	0.037696736	66.57%	75/180/0
DIP2A	ENSG00000160305	protein_coding	chr21	47878812	47989926	0.064095824	58.86%	100/155/0
DIP2B	ENSG00000066084	protein_coding	chr12	50898768	51142450	0.298176255	27.8%	175/80/0
DIP2C	ENSG00000151240	protein_coding	chr10	320130	735683	0.162764549	41.18%	125/130/0
DIRAS1	ENSG00000176490	protein_coding	chr19	2714565	2721416	0.246362199	31.9%	150/105/0
DIRAS2	ENSG00000165023	protein_coding	chr9	93372114	93405386	0.205130427	36.1%	150/105/0
DIRAS3	ENSG00000162595	protein_coding	chr1	68511645	68517314	0.002036325	90.89%	0/255/0
DIS3	ENSG00000083520	protein_coding	chr13	73329540	73356234	0.399402083	20.82%	175/80/0
DIS3L	ENSG00000166938	protein_coding	chr15	66585555	66626236	0.054992004	61.19%	75/180/0
DIS3L2	ENSG00000144535	protein_coding	chr2	232825955	233209060	0.190337197	37.78%	150/105/0
DISC1	ENSG00000162946	protein_coding	chr1	231762561	232177018	0.009084083	81.6%	25/230/0
DISP1	ENSG00000154309	protein_coding	chr1	222988406	223179337	0.10684412	49.82%	125/130/0
DISP2	ENSG00000140323	protein_coding	chr15	40650436	40663257	0.039185178	66.04%	75/180/0
DIXDC1	ENSG00000150764	protein_coding	chr11	111797868	111893308	0.324696755	25.81%	175/80/0
DKC1	ENSG00000130826	protein_coding	chrX	153991031	154005964	0.779908958	6.32%	255/0/0
DKK1	ENSG00000107984	protein_coding	chr10	54074056	54077802	0.921210217	2.95%	255/0/0
DKK2	ENSG00000155011	protein_coding	chr4	107842959	108204963	0.664974812	9.53%	255/0/0
DKK3	ENSG00000050165	protein_coding	chr11	11984653	12031316	0.14040778	44.34%	125/130/0
DKK4	ENSG00000104371	protein_coding	chr8	42231586	42234750	0.025890908	71.37%	50/205/0
DKKL1	ENSG00000104901	protein_coding	chr19	49865040	49878373	0.011993172	79.25%	50/205/0
DLAT	ENSG00000150768	protein_coding	chr11	111895538	111935114	0.5409556	14.16%	200/55/0
DLC1	ENSG00000164741	protein_coding	chr8	12940870	13373167	0.140256235	44.36%	125/130/0
DLC1	ENSG00000288673	protein_coding	chr8	12940870	13373167	0.140256235	44.36%	125/130/0
DLD	ENSG00000091140	protein_coding	chr7	107531415	107572175	0.821871316	5.26%	255/0/0
DLEC1	ENSG00000008226	protein_coding	chr3	38080696	38165516	0.00947585	81.3%	25/230/0
DLEU7	ENSG00000186047	protein_coding	chr13	51285144	51418075	0.018778121	74.82%	50/205/0
DLG1	ENSG00000075711	protein_coding	chr3	196769431	197026171	0.817144992	5.37%	255/0/0
DLG2	ENSG00000150672	protein_coding	chr11	83166055	85338966	0.9849262	1.29%	255/0/0
DLG3	ENSG00000082458	protein_coding	chrX	69664711	69725337	0.532941322	14.46%	200/55/0
DLG4	ENSG00000132535	protein_coding	chr17	7093209	7123021	0.305379094	27.2%	175/80/0
DLG5	ENSG00000151208	protein_coding	chr10	79550549	79686378	0.1770919	39.42%	150/105/0
DLG5	ENSG00000274429	protein_coding	chr10	79550549	79686378	0.1770919	39.42%	150/105/0
DLGAP1	ENSG00000170579	protein_coding	chr18	3496030	4455335	0.732447726	7.58%	255/0/0
DLGAP2	ENSG00000282152	protein_coding	chr8	1449532	1656642	0.064995434	58.64%	100/155/0
DLGAP2	ENSG00000274161	protein_coding	chr8	1449532	1656642	0.064995434	58.64%	100/155/0
DLGAP2	ENSG00000282318	protein_coding	chr8	1449532	1656642	0.064995434	58.64%	100/155/0
DLGAP2	ENSG00000198010	protein_coding	chr8	1449532	1656642	0.064995434	58.64%	100/155/0
DLGAP3	ENSG00000116544	protein_coding	chr1	35331037	35395186	0.352706699	23.91%	175/80/0
DLGAP4	ENSG00000080845	protein_coding	chr20	34894258	35157040	0.361698448	23.32%	175/80/0
DLGAP5	ENSG00000126787	protein_coding	chr14	55614830	55658396	0.057484554	60.57%	75/180/0
DLK1	ENSG00000185559	protein_coding	chr14	101192042	101201539	0.343333567	24.61%	175/80/0
DLK2	ENSG00000171462	protein_coding	chr6	43418090	43424370	0.099962692	51.2%	100/155/0
